scenario Pi.Syn1 Pi.Syn2 Pi.Syn3 Pi.Syn4 Pi.Syn5 Pi.Syn6 Pi.Syn7 Pi.Syn8 Pi.Syn9 Pi.Syn10 Pi.Syn11 Pi.Syn12 Pi.Syn13 Pi.Syn14 Pi.Syn15 Pi.Syn16 Pi.Syn17 Pi.Syn18 Pi.Syn19 Pi.Syn20 Pi.Syn21 Pi.Syn22 Pi.Syn23 Pi.Syn24 Pi.Syn25 Pi.Syn26 Pi.Syn27 Pi.Syn28 Pi.Syn29 Pi.Syn30 Pi.Syn31 Pi.Syn32 Pi.Syn33 Pi.Syn34 Pi.Syn35 Pi.Syn36 Pi.Syn37 Pi.Syn38 Pi.Syn39 Pi.Syn40 Pi.Syn41 Pi.Syn42 Pi.Syn43 Pi.Syn44 Pi.Syn45 Pi.Syn46 Pi.Syn47 Pi.Syn48 Pi.Syn49 Pi.NSyn1 Pi.NSyn2 Pi.NSyn3 Pi.NSyn4 Pi.NSyn5 Pi.NSyn6 Pi.NSyn7 Pi.NSyn8 Pi.NSyn9 Pi.NSyn10 Pi.NSyn11 Pi.NSyn12 Pi.NSyn13 Pi.NSyn14 Pi.NSyn15 Pi.NSyn16 Pi.NSyn17 Pi.NSyn18 Pi.NSyn19 Pi.NSyn20 Pi.NSyn21 Pi.NSyn22 Pi.NSyn23 Pi.NSyn24 Pi.NSyn25 Pi.NSyn26 Pi.NSyn27 Pi.NSyn28 Pi.NSyn29 Pi.NSyn30 Pi.NSyn31 Pi.NSyn32 Pi.NSyn33 Pi.NSyn34 Pi.NSyn35 Pi.NSyn36 Pi.NSyn37 Pi.NSyn38 Pi.NSyn39 Pi.NSyn40 Pi.NSyn41 Pi.NSyn42 Pi.NSyn43 Pi.NSyn44 Pi.NSyn45 Pi.NSyn46 Pi.NSyn47 Pi.NSyn48 Pi.NSyn49 Div.Syn Div.Nsyn
SLiM_02_sum.txt 25910 12929 8409 6409 5259 4233 3667 3191 2856 2511 2234 2178 1969 1821 1655 1587 1484 1462 1351 1258 1249 1140 1091 1005 1011 998 911 887 875 883 833 802 802 729 690 714 662 660 689 623 586 670 575 561 529 597 532 532 566 51534 25853 17082 12988 10400 8553 7035 6411 5747 5105 4761 4197 3892 3617 3358 3260 3120 2955 2736 2635 2399 2388 2182 2199 2175 2052 1991 1967 1840 1859 1751 1717 1686 1644 1653 1576 1550 1597 1556 1510 1446 1420 1400 1410 1470 1538 1554 1549 1555 117706 396630
SLiM_02_sum.txt_boot_001.txt 25686 12755 8220 6333 5212 4405 3613 3173 2845 2423 2146 2173 1973 1832 1624 1586 1516 1538 1357 1281 1319 1160 1099 994 1011 939 856 893 890 891 855 848 738 771 706 730 702 648 683 607 606 685 560 544 524 595 562 510 556 51211 25810 16920 12981 10241 8456 7169 6575 5737 5156 4705 4264 3911 3701 3396 3204 3150 2874 2858 2554 2323 2352 2242 2177 2121 2076 2041 1959 1878 1898 1790 1678 1690 1670 1567 1623 1452 1651 1512 1505 1434 1466 1390 1474 1474 1526 1540 1540 1601 117171 395566
SLiM_02_sum.txt_boot_002.txt 26078 12926 8464 6569 5280 4186 3661 3182 2861 2524 2137 2171 1948 1814 1605 1641 1521 1460 1436 1312 1232 1118 1096 967 978 985 943 895 972 874 770 794 809 673 754 723 654 658 647 611 596 651 562 544 498 602 578 489 549 51652 25418 17106 12830 10412 8605 7032 6397 5713 5140 4657 4220 3924 3596 3359 3168 3064 2923 2757 2612 2406 2426 2225 2188 2188 2026 1937 1948 1874 1938 1801 1647 1678 1695 1684 1659 1587 1498 1581 1525 1458 1401 1444 1451 1421 1531 1459 1524 1502 117999 397691
SLiM_02_sum.txt_boot_003.txt 25974 12976 8420 6327 5193 4186 3555 3166 2780 2432 2232 2279 1994 1753 1643 1601 1539 1353 1355 1232 1272 1145 1040 975 1035 1022 925 885 894 885 922 794 817 728 731 700 716 669 661 617 598 626 554 515 505 582 537 553 575 51593 25758 17078 13119 10306 8686 7007 6379 5738 5098 4654 4174 3929 3621 3350 3280 3022 3050 2738 2654 2409 2418 2198 2178 2146 2013 2033 2008 1833 1839 1744 1703 1651 1619 1619 1544 1503 1576 1521 1502 1499 1423 1386 1455 1411 1534 1612 1534 1532 117522 394929
SLiM_02_sum.txt_boot_004.txt 26004 12876 8395 6430 5297 4308 3740 3171 2825 2582 2230 2188 2013 1817 1668 1620 1550 1430 1402 1197 1261 1119 1083 1021 976 991 882 890 852 856 834 837 799 728 714 754 673 664 697 633 589 701 571 594 545 585 526 513 550 51477 25839 17219 13125 10066 8542 6913 6574 5679 5050 4746 4134 3880 3462 3316 3250 3185 2911 2662 2660 2396 2293 2192 2208 2200 2064 2010 1993 1935 1822 1716 1721 1722 1698 1647 1616 1611 1534 1535 1557 1472 1377 1407 1385 1434 1565 1508 1625 1599 117270 397221
SLiM_02_sum.txt_boot_005.txt 25824 13214 8412 6325 5335 4240 3608 3224 2780 2537 2278 2104 1988 1771 1651 1572 1497 1567 1303 1220 1230 1101 1056 954 1053 998 925 873 853 864 833 835 802 753 698 721 623 641 717 652 573 668 608 556 519 594 535 535 546 51791 25714 17020 13149 10429 8704 7140 6393 5731 5065 4779 4158 3982 3633 3252 3355 3175 2839 2731 2658 2429 2413 2162 2201 2135 2048 1958 1974 1859 1825 1730 1678 1697 1650 1712 1562 1562 1660 1551 1585 1439 1401 1335 1413 1488 1515 1519 1529 1552 117820 395844
SLiM_02_sum.txt_boot_006.txt 25887 13106 8420 6421 5304 4357 3629 3217 2863 2508 2234 2185 1960 1838 1651 1577 1478 1436 1340 1271 1291 1132 1094 958 1047 939 828 851 861 884 844 791 851 739 704 703 666 633 669 619 535 690 548 556 543 595 549 544 624 51747 25835 17209 12941 10287 8617 7054 6299 5949 5210 4680 4197 3887 3712 3340 3269 3103 2930 2772 2676 2480 2358 2190 2189 2238 2038 1961 2044 1864 1834 1807 1782 1669 1656 1705 1541 1524 1550 1523 1567 1471 1429 1454 1459 1500 1534 1553 1459 1587 118307 397141
SLiM_02_sum.txt_boot_007.txt 26112 12779 8524 6261 5431 4230 3738 3221 2922 2543 2235 2224 1980 1813 1606 1609 1459 1382 1325 1234 1249 1167 1095 1020 958 1042 900 935 902 955 805 825 859 710 654 702 622 711 688 621 603 704 581 570 500 619 521 536 576 51957 25829 16829 12841 10409 8723 7135 6390 5725 5086 4851 4092 3997 3616 3357 3318 3227 3003 2768 2573 2445 2395 2146 2272 2046 1972 1879 2018 1845 1912 1663 1715 1699 1625 1623 1655 1591 1560 1511 1499 1445 1389 1354 1448 1496 1565 1603 1601 1508 117151 397245
SLiM_02_sum.txt_boot_008.txt 25962 13182 8530 6358 5351 4269 3633 3163 2791 2545 2237 2126 1994 1850 1674 1591 1518 1475 1338 1293 1249 1113 1072 1076 1032 1014 925 875 880 945 846 869 831 737 668 720 687 635 680 638 593 671 568 545 537 568 524 556 579 51708 26085 16909 12987 10539 8498 7111 6404 5891 5108 4851 4218 3880 3566 3353 3244 3012 3003 2724 2615 2445 2413 2222 2170 2124 2143 1964 1935 1882 1782 1737 1754 1715 1645 1683 1568 1571 1566 1555 1518 1470 1457 1417 1310 1451 1535 1491 1607 1557 117903 397045
SLiM_02_sum.txt_boot_009.txt 25747 12827 8387 6506 5332 4156 3691 3230 2782 2495 2215 2187 1967 1907 1628 1570 1471 1456 1369 1274 1250 1080 1050 991 1001 938 965 942 844 909 890 837 800 745 704 682 662 669 687 647 623 725 574 573 518 581 523 504 556 51966 26010 17043 12944 10318 8478 7028 6425 5893 5120 4865 4251 3882 3557 3314 3271 3189 3009 2707 2687 2436 2412 2234 2134 2119 2072 1955 1931 1842 1942 1800 1682 1676 1563 1648 1558 1467 1615 1557 1466 1451 1456 1413 1487 1499 1550 1553 1521 1521 118035 395679
