scenario missing freq.st1 freq.st2 freq.st3 freq.st4 freq.st5 Theta.i20.Syn Theta.i20.NSyn Theta.i40.Syn Theta.i40.NSyn Theta.i60.Syn Theta.i60.NSyn Theta.i80.Syn Theta.i80.NSyn Theta.i100.Syn Theta.i100.NSyn Div.Syn Div.Nsyn
SLiM_03_sum.txt 0 0.1 0.29 0.49 0.69 0.89 6615.22222222132 9692.44444444411 7769.50000000014 9589.99999999969 8722.30000000001 10038.9999999996 10032.0999999997 12079.3999999998 10922.6999999998 13899.2999999999 134178 293772
SLiM_03_sum.txt 0.1 0.1045 0.2977 0.4977 0.6976 0.8932 6625.98611111075 9682.78174603157 7842.74999999987 9634.23095238075 8789.70912698402 10205.8432539681 10016.7269841269 11862.0630952379 10881.8226190476 14035.1317460316 134206 293809
SLiM_03_sum.txt 0.25 0.1054 0.2973 0.4973 0.6974 0.892 6654.40595238077 9676.5023809524 7774.73730158725 9570.19801587308 8781.06587301585 10231.6876984127 10019.0948412699 12033.1242063493 10900.8261904761 13904.8555555555 134258 293868
SLiM_03_sum.txt 0.5 0.1081 0.2959 0.4959 0.696 0.8878 6645.88333333356 9796.71904761909 7793.01785714294 9454.08690476187 8837.21904761907 10153.2345238095 9793.38690476192 11854.8666666666 10889.2666666667 13963.7833333333 134406 294075
SLiM_03_sum.txt 0.75 0.1168 0.2922 0.4921 0.6921 0.8753 6762.4166666667 9740.00000000002 7406.98333333339 9452.49999999995 8669.48333333332 10107.45 9671.28333333334 11122.2166666667 10826 13563.4166666666 134881 294707
SLiM_03_sum.txt 0.9 0.1427 0.3056 0.4976 0.6895 0.8548 2614.5 3758.5 3029.33333333333 3729.33333333333 3296.66666666667 3798.66666666667 3691.33333333333 4546.33333333333 4006.5 5020 136654 296919
SLiM_03_sum.txt_boot_001.txt 0 0.1 0.29 0.49 0.69 0.89 6567.22222222132 9614.77777777743 7850.10000000014 9329.49999999985 8629.40000000004 10109.1999999996 9900.99999999979 11833.0999999998 10888.5999999998 13742.3999999999 133920 294289
SLiM_03_sum.txt_boot_001.txt 0.1 0.1045 0.2978 0.4977 0.6976 0.8932 6612.00793650758 9593.99007936492 7885.834126984 9420.11785714269 8687.98015873007 10068.136111111 9964.01587301575 11906.9833333331 10842.5075396825 13777.572222222 133940 294323
SLiM_03_sum.txt_boot_001.txt 0.25 0.1054 0.2973 0.4973 0.6973 0.8919 6631.88134920614 9617.01944444444 7754.56269841267 9412.94603174607 8828.67857142856 10104.4619047619 9812.9380952381 11812.1337301588 10969.3035714285 13843.7206349206 133987 294370
SLiM_03_sum.txt_boot_001.txt 0.5 0.1081 0.2959 0.4959 0.6959 0.8878 6662.26190476212 9672.85476190484 7756.00714285721 9509.54523809518 8711.91428571429 9985.26547619043 9881.59761904761 11733.3428571428 10893.3333333333 13537.9285714286 134127 294573
SLiM_03_sum.txt_boot_001.txt 0.75 0.1168 0.2919 0.4919 0.692 0.8752 6651.08333333336 9625.48333333336 7574.73333333338 9364.78333333328 8608.51666666666 9999.95000000001 9354.98333333331 11275.75 10919.5833333333 13176.75 134577 295191
SLiM_03_sum.txt_boot_001.txt 0.9 0.1438 0.3072 0.498 0.6887 0.8541 2680.5 3655.5 2884.33333333333 3744 3300.16666666667 3822 3531 4061.83333333333 4164.5 5100.16666666667 136379 297533
SLiM_03_sum.txt_boot_002.txt 0 0.1 0.29 0.49 0.69 0.89 6622.44444444353 9692.88888888858 7862.50000000014 9595.09999999973 8656.50000000002 9870.39999999966 9954.19999999974 12091.5999999998 10919.1999999998 13559.4999999999 134526 294043
SLiM_03_sum.txt_boot_002.txt 0.1 0.1045 0.2977 0.4977 0.6976 0.8932 6638.22023809487 9684.11309523791 7907.23809523798 9500.15595238074 8753.17738095229 9956.7357142856 10102.488095238 12115.5329365077 10721.1801587301 13692.3912698411 134554 294071
SLiM_03_sum.txt_boot_002.txt 0.25 0.1053 0.2973 0.4973 0.6974 0.892 6727.65039682519 9765.93373015874 7962.32499999998 9397.47619047623 8738.07896825395 10054.5416666667 9802.49325396826 11988.1011904763 10902.9353174603 13597.569047619 134600 294150
SLiM_03_sum.txt_boot_002.txt 0.5 0.1081 0.296 0.496 0.6959 0.8878 6634.1023809526 9674.51428571437 7847.92619047624 9564.10952380947 8555.07023809526 10179.9452380952 10050.3952380952 11734.5559523809 10748.3047619048 13498.5452380952 134748 294345
SLiM_03_sum.txt_boot_002.txt 0.75 0.1169 0.2921 0.492 0.6919 0.8751 6754.08333333336 9732.5 7588.48333333338 9379.04999999998 8597.15 10258.4 9735.83333333334 11338.1166666667 10200.6833333333 12945 135259 294943
SLiM_03_sum.txt_boot_002.txt 0.9 0.1435 0.3071 0.4978 0.6886 0.8543 2606.66666666667 3844.5 3027.33333333333 3628 3358.5 3851.83333333333 3610.66666666667 4394.16666666667 3721 5026.5 137055 297231
SLiM_03_sum.txt_boot_003.txt 0 0.1 0.29 0.49 0.69 0.89 6584.88888888796 9709.99999999967 7848.70000000016 9524.19999999976 8724.10000000005 9939.89999999962 10017.1999999997 12142.3999999998 10927.1999999998 13825.9999999999 133488 294450
SLiM_03_sum.txt_boot_003.txt 0.1 0.1045 0.2978 0.4977 0.6976 0.8932 6599.78968253929 9693.65277777761 7861.47698412689 9574.58333333315 8877.43333333325 9991.73333333323 10031.6357142856 12255.072222222 10872.1388888889 13732.3182539681 133517 294492
SLiM_03_sum.txt_boot_003.txt 0.25 0.1053 0.2973 0.4973 0.6974 0.892 6663.84166666646 9626.23253968255 7777.14444444441 9451.7182539683 8757.56468253967 10202.4416666667 10102.0111111111 12173.1936507937 10898.1615079365 13720.2055555555 133553 294557
SLiM_03_sum.txt_boot_003.txt 0.5 0.1081 0.2959 0.4959 0.6959 0.8878 6652.91904761926 9679.14047619057 7828.00238095246 9429.29047619041 8770.65119047621 10203.6976190476 9828.51666666667 12015.9166666667 10809.0666666667 13496.2523809524 133725 294763
SLiM_03_sum.txt_boot_003.txt 0.75 0.1166 0.2919 0.4919 0.692 0.8753 6598.58333333336 9907.33333333333 7598.41666666671 9246.7333333333 8622.55000000001 10043.2166666667 9719.8 11465.6666666667 10615 12978.75 134218 295441
SLiM_03_sum.txt_boot_003.txt 0.9 0.1434 0.3066 0.4978 0.689 0.8545 2645.5 3701 2967.83333333333 3711.83333333333 3119.16666666667 3798.83333333333 3624.16666666667 4391.83333333333 4095 4991.5 136062 297626
SLiM_03_sum.txt_boot_004.txt 0 0.1 0.29 0.49 0.69 0.89 6615.22222222135 9603.77777777746 7781.70000000012 9552.89999999974 8644.49999999995 10082.2999999995 9763.69999999984 12036.8999999998 10880.9999999998 14453.6999999999 133771 293326
SLiM_03_sum.txt_boot_004.txt 0.1 0.1045 0.2978 0.4977 0.6976 0.8932 6623.64285714249 9556.06150793633 7807.87539682528 9636.81507936488 8683.89404761897 10150.5805555554 9914.21428571418 12092.401190476 10818.5313492063 14419.7218253966 133786 293370
SLiM_03_sum.txt_boot_004.txt 0.25 0.1053 0.2973 0.4973 0.6973 0.8919 6640.2503968252 9595.30753968251 7802.92222222219 9459.76468253974 8568.89444444444 10299.6416666667 9808.73015873019 12136.5722222223 10918.6599206349 14297.0992063492 133848 293427
SLiM_03_sum.txt_boot_004.txt 0.5 0.1081 0.296 0.496 0.6959 0.8878 6673.22619047643 9647.39761904772 7798.73690476199 9548.13571428566 8699.94523809526 10299.1273809523 9482.7369047619 11915.9357142857 10850.0357142857 13915.7369047619 134018 293676
SLiM_03_sum.txt_boot_004.txt 0.75 0.1167 0.2919 0.4919 0.6919 0.8753 6749.45000000004 9703.80000000001 7509.81666666671 9450.94999999997 8379.8 10427.7 9243.03333333334 11387.0833333333 10676.8333333333 13480.9166666666 134505 294315
SLiM_03_sum.txt_boot_004.txt 0.9 0.1434 0.3064 0.498 0.6896 0.8546 2642.5 3853.5 2791.83333333333 3571 3246.83333333333 4072 3535.33333333333 4205.83333333333 3842.5 4699.5 136364 296610
SLiM_03_sum.txt_boot_005.txt 0 0.1 0.29 0.49 0.69 0.89 6635.99999999907 9929.77777777746 7563.20000000015 9312.29999999988 8807.99999999997 10109.0999999996 10084.3999999997 12168.3999999998 11043.5999999998 14072.3999999999 134087 294075
SLiM_03_sum.txt_boot_005.txt 0.1 0.1045 0.2978 0.4977 0.6976 0.8932 6673.15873015835 9892.82142857123 7634.42261904752 9364.00079365063 8802.41507936498 10080.7238095237 10124.4583333332 12265.8797619046 11025.6373015873 14103.3329365078 134119 294113
SLiM_03_sum.txt_boot_005.txt 0.25 0.1054 0.2973 0.4973 0.6973 0.892 6617.58809523788 9889.84444444446 7702.20277777774 9336.31984126988 8743.56865079363 10294.0686507937 10204.6396825397 11957.6900793651 10958.1619047618 14149.6642857143 134161 294178
SLiM_03_sum.txt_boot_005.txt 0.5 0.1081 0.296 0.496 0.696 0.8878 6712.40952380975 9838.72857142862 7635.78928571433 9446.37142857134 8711.67857142858 10236.1845238095 10001.8535714286 11968.2047619048 10874.2857142857 13951.6976190476 134336 294374
SLiM_03_sum.txt_boot_005.txt 0.75 0.1168 0.292 0.4919 0.6917 0.875 6638.9166666667 9932.4 7669.23333333338 9475.96666666662 8492.06666666668 9969.10000000002 9751.16666666668 11611.1666666667 10613.5833333333 13527.1666666666 134796 294997
SLiM_03_sum.txt_boot_005.txt 0.9 0.1433 0.3068 0.4977 0.6885 0.8544 2626.5 3752 2926.5 3788.83333333333 3251.5 4001 3324.33333333333 4550.83333333333 3977 4874.5 136627 297296
SLiM_03_sum.txt_boot_006.txt 0 0.1 0.29 0.49 0.69 0.89 6634.33333333244 9824.77777777743 7744.50000000015 9312.59999999989 8595.9 9880.19999999967 9790.09999999985 11961.6999999998 10667.4999999997 13817.6999999999 133782 294068
SLiM_03_sum.txt_boot_006.txt 0.1 0.1045 0.2978 0.4977 0.6977 0.8932 6616.97222222186 9839.9642857141 7882.13333333321 9221.31746031731 8563.08134920628 10086.2670634919 9899.78214285704 11910.1876984125 10550.717063492 13876.1940476189 133818 294100
SLiM_03_sum.txt_boot_006.txt 0.25 0.1054 0.2973 0.4973 0.6973 0.8919 6590.01746031726 9804.64126984132 7884.06785714285 9244.64642857145 8633.63928571427 9985.77460317461 9609.86904761904 11983.7682539683 10769.369047619 13787.1099206349 133859 294168
SLiM_03_sum.txt_boot_006.txt 0.5 0.1081 0.2959 0.4959 0.6959 0.8878 6700.8761904764 9897.55000000008 7765.19166666672 9235.23809523806 8640.43095238097 10132.8511904762 9823.47380952381 11696.9142857143 10442.5333333333 13437.9285714286 134013 294426
SLiM_03_sum.txt_boot_006.txt 0.75 0.1167 0.2918 0.4917 0.6916 0.875 6583.33333333337 9825.86666666666 7541.55000000005 9306.54999999995 8588.30000000001 9890.46666666668 9122.93333333333 11894.65 10629.8333333333 12400.5 134498 295040
SLiM_03_sum.txt_boot_006.txt 0.9 0.1429 0.306 0.4976 0.6892 0.8547 2658 3815 3020.5 3738 3331.66666666667 3942.66666666667 3530.66666666667 4167.5 3810.5 4702.83333333333 136265 297267
SLiM_03_sum.txt_boot_007.txt 0 0.1 0.29 0.49 0.69 0.89 6588.66666666571 9702.44444444413 7881.40000000015 9680.39999999965 8499.40000000005 10115.2999999996 10107.1999999997 12243.1999999998 10968.6999999998 13570.3999999999 134016 293497
SLiM_03_sum.txt_boot_007.txt 0.1 0.1045 0.2978 0.4977 0.6976 0.8932 6622.79166666628 9688.99404761889 7864.32261904747 9617.90753968234 8659.37698412691 10295.9670634919 10138.0924603173 12180.3079365077 10920.6333333333 13659.4480158729 134042 293533
SLiM_03_sum.txt_boot_007.txt 0.25 0.1054 0.2973 0.4973 0.6973 0.892 6633.54246031729 9667.13968253969 7923.66071428567 9653.11825396831 8582.22499999999 10245.6861111111 10191.0876984127 12134.8337301588 10833.9182539682 13677.1571428571 134088 293600
SLiM_03_sum.txt_boot_007.txt 0.5 0.1081 0.296 0.496 0.696 0.8879 6684.69285714308 9697.4571428572 7761.53571428579 9642.74642857136 8667.67380952383 10342.1869047619 9813.28571428572 11970.6976190476 11101.019047619 13487.2309523809 134234 293791
SLiM_03_sum.txt_boot_007.txt 0.75 0.1166 0.292 0.4921 0.6921 0.8754 6587.33333333336 9762.08333333333 7651.31666666671 9377.23333333329 8450.93333333333 10343.4833333334 9661.83333333333 11875.55 10603.4166666667 12817.5833333333 134742 294404
SLiM_03_sum.txt_boot_007.txt 0.9 0.1431 0.3063 0.4976 0.6889 0.8545 2561.5 3713.5 2883.66666666667 3701.83333333333 3204.83333333333 3884.33333333333 3753.5 4635.33333333333 3937.5 4816.5 136567 296667
SLiM_03_sum.txt_boot_008.txt 0 0.1 0.29 0.49 0.69 0.89 6661.44444444357 9518.77777777745 7850.00000000013 9473.89999999975 8775.90000000004 9875.89999999964 9943.59999999972 12270.3999999998 10833.2999999998 13588.8999999999 133777 293082
SLiM_03_sum.txt_boot_008.txt 0.1 0.1045 0.2978 0.4977 0.6976 0.8932 6692.83134920599 9495.26388888872 7867.4738095237 9394.69960317443 8828.53293650785 10098.5194444443 10153.6884920634 12230.8361111109 10679.6428571428 13587.7650793649 133797 293124
SLiM_03_sum.txt_boot_008.txt 0.25 0.1054 0.2973 0.4973 0.6974 0.892 6631.0496031744 9500.2972222222 7934.71904761902 9475.03095238102 8779.2841269841 9985.11031746032 10139.0218253968 12235.5738095239 10657.6388888888 13663.4984126984 133844 293175
SLiM_03_sum.txt_boot_008.txt 0.5 0.1081 0.2959 0.496 0.696 0.8878 6749.05476190499 9563.57976190485 7892.17023809531 9444.97380952377 8622.73333333334 9914.54999999997 10157.8857142857 12280.1261904761 10456.4452380952 13578.8523809524 134018 293357
SLiM_03_sum.txt_boot_008.txt 0.75 0.1166 0.2917 0.4917 0.6917 0.875 6707.9666666667 9670.28333333333 7492.78333333338 9316.09999999996 8514.13333333334 10090.2833333333 9949.51666666667 11530.7166666667 10610.5 12891.6666666666 134443 294014
SLiM_03_sum.txt_boot_008.txt 0.9 0.1437 0.3072 0.4979 0.6887 0.8542 2585.5 3551 2883.83333333333 3622 3126.16666666667 4057 3597.83333333333 4282.83333333333 3900.5 4821 136275 296157
SLiM_03_sum.txt_boot_009.txt 0 0.1 0.29 0.49 0.69 0.89 6576.77777777688 9591.66666666635 7944.20000000014 9417.39999999976 8646.2 9901.59999999965 9946.99999999977 12074.2999999998 10874.1999999998 13693.5999999999 134206 293413
SLiM_03_sum.txt_boot_009.txt 0.1 0.1045 0.2979 0.4978 0.6977 0.8932 6630.23809523771 9554.71626984109 7921.97341269828 9441.83531746013 8721.85515873008 10033.6555555554 10021.886111111 12047.3134920633 10794.4396825396 13768.2496031745 134235 293441
SLiM_03_sum.txt_boot_009.txt 0.25 0.1053 0.2973 0.4973 0.6973 0.892 6627.79007936488 9595.38650793649 7982.95238095236 9450.14126984131 8695.15912698412 9904.8888888889 9956.84880952383 12052.5690476191 10788.2869047618 13758.6773809523 134283 293508
SLiM_03_sum.txt_boot_009.txt 0.5 0.1081 0.2959 0.4959 0.6959 0.8877 6655.01190476211 9582.79761904768 7834.87380952387 9264.20476190472 8735.36904761907 10152.9488095238 9939.67738095235 11835.8357142857 10734.5952380952 13582.7047619048 134434 293725
SLiM_03_sum.txt_boot_009.txt 0.75 0.1168 0.2922 0.4921 0.692 0.8753 6778.16666666671 9685.08333333334 7565.90000000005 9289.19999999998 8567.48333333332 10043.35 9605.23333333335 11381.6666666667 10676.0833333333 12927.75 134913 294371
SLiM_03_sum.txt_boot_009.txt 0.9 0.1437 0.3069 0.4978 0.6887 0.8542 2705 3742 2891.33333333333 3560 3255.66666666667 3821.16666666667 3629 4308.33333333333 4004 5084 136722 296589
SLiM_03_sum.txt_boot_010.txt 0 0.1 0.29 0.49 0.69 0.89 6711.99999999908 9678.22222222193 7890.10000000015 9648.29999999968 8671.00000000002 9782.69999999961 10183.0999999997 11893.2999999998 10787.2999999998 13717.4999999999 134116 293381
SLiM_03_sum.txt_boot_010.txt 0.1 0.1045 0.2978 0.4977 0.6977 0.8932 6734.81746031711 9645.05158730142 7948.24126984113 9692.4853174601 8688.85873015865 9795.86626984116 10264.9138888888 12035.368253968 10762.2341269841 13673.2265873014 134142 293412
SLiM_03_sum.txt_boot_010.txt 0.25 0.1054 0.2974 0.4974 0.6974 0.892 6743.90238095217 9665.83452380954 7872.71349206346 9661.07539682545 8803.76825396825 10024.2194444445 10151.0531746032 11632.2162698413 10771.9333333333 13823.0349206349 134185 293477
