scenario missing freq.st1 freq.st2 freq.st3 freq.st4 freq.st5 Theta.FuLi.Syn Theta.FuLi.Nsyn Theta.Watt.Syn Theta.Watt.Nsyn Theta.Taji.Syn Theta.Taji.Nsyn Theta.FayWu.Syn Theta.FayWu.Nsyn Theta.vhf.Syn Theta.vhf.Nsyn Div.Syn Div.Nsyn
SLiM_04_sum.txt 0 0.02 0.2188 0.34 0.66 0.86 54113 76930 38635.8710817062 49993.9125551295 30388.4448979629 37464.9559183769 24318.2897959212 36887.9012244899 23963.708145304 51001.6357255344 115213 274805
SLiM_04_sum.txt 0.1 0.0223 0.2236 0.3408 0.6592 0.856 53619 75336 38256.0055011178 49338.57995596 30386.6820754636 37457.5692642482 24323.2025815305 36782.3018205658 23923.9370035558 50239.6029138498 115281 274944
SLiM_04_sum.txt 0.25 0.0268 0.2325 0.3423 0.6577 0.8485 52876 72888 37640.2852372956 48277.3616885598 30373.4895292652 37464.5970064338 24321.4279303743 36536.6436135825 23647.429852979 48475.2744426891 115388 275245
SLiM_04_sum.txt 0.5 0.0405 0.2546 0.3468 0.6532 0.8291 50141 66918 36164.5284125883 45856.2782077577 30401.2876284736 37481.4069196345 24417.5062352956 35868.8909429468 23627.1071481773 44145.9295213662 115725 276084
SLiM_04_sum.txt 0.75 0.083 0.3016 0.361 0.639 0.7835 44271 56878 33632.5825233372 42181.2595698376 30357.340108453 37492.9231855728 24818.0149137825 34572.4856891488 23901.0350821082 38048.709002266 116761 278319
SLiM_04_sum.txt 0.9 0.2046 0.3811 0.4015 0.5985 0.6881 35286 43400 30059.1454293055 37220.6658462414 29197.0790265267 36048.9238844471 25610.270235321 32946.8344738603 24664.7919766998 32761.9137851878 121696 285552
SLiM_04_sum.txt_boot_001.txt 0 0.02 0.2188 0.34 0.66 0.86 54054 76705 38693.6938382982 49798.118896708 30496.1240816365 37336.4277551125 24473.4269387785 36849.1232653061 23923.2691762579 51022.564653507 115138 274169
SLiM_04_sum.txt_boot_001.txt 0.1 0.0223 0.2236 0.3408 0.6592 0.856 53486 75188 38303.2780685025 49139.1870299784 30498.9095331472 37331.876041703 24476.4897094598 36730.851959152 23738.1198565806 50227.0275987569 115202 274315
SLiM_04_sum.txt_boot_001.txt 0.25 0.0268 0.2325 0.3423 0.6577 0.8485 52624 72703 37681.4131304418 48091.4503380743 30498.660290198 37352.861167013 24525.2374218506 36353.410208011 23963.7111311489 47663.6474940408 115301 274647
SLiM_04_sum.txt_boot_001.txt 0.5 0.0405 0.2546 0.3468 0.6532 0.8291 50182 66505 36238.2881343851 45603.5328367427 30517.7743748259 37293.9453367247 24678.1950873046 35730.6394427707 24044.4595631755 43881.8762966429 115614 275464
SLiM_04_sum.txt_boot_001.txt 0.75 0.0828 0.3015 0.3609 0.6391 0.7836 44358 56242 33709.0186721518 41966.240946922 30478.3916870981 37380.4829510916 24940.5953676952 34599.7864141547 23993.1893568288 37913.3325514877 116736 277573
